codigo,nome,creditos,turma,oferecidas_veteranos,oferecidas_calouros,vagas_ampliadas,ocupadas_veteranos,ocupadas_calouros,horarios,locais,professores
,,,F1,8,0,0,2,0,20:30; 20:30,"sala de aula 051 - Campus: Centro<li class=""hor"">Quinta 20:30-22:10 2</li>sala de aula 051 - Campus: Centro; <li class=""hor"">MARCO ANTONIO GIACOMELLI - Ministrante de 23/09/2024 a 18/01/2025 - Responsável conceito</li>","MÁRCIA HELENA BARBIAN - Regente de 23/09/2024 a 18/01/2025</li><li class=""hor"">MARCO ANTONIO GIACOMELLI"
INF01008,PROGRAMAÇÃO DISTRIBUÍDA E PARALELA,4,U,18,0,0,19,0,10:30; 10:30,SALA DE AULA 102 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 102 - PRÉDIO 43425 - Campus: Vale,Arthur Francisco Lorenzon
INF01006,PROJETO DE BANCO DE DADOS,4,U,30,0,0,29,0,15:30; 15:30,"<li class=""hor"">Quarta 15:30-17:10 2</li>; ",RENATA DE MATOS GALANTE
INF01019,PROJETO EM COMPUTAÇÃO GRÁFICA,4,U,30,0,0,12,0,11:50,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,LUCIANA PORCHER NEDEL
INF01154,REDES DE COMPUTADORES N,6,A,12,0,0,12,0,10:10; 10:10; 13:30,SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale                    ; sino (Hardware e Rede de Computadores - 105 - 43413 - Campus: Vale,"LUCIANO PASCHOAL GASPARY - Regente de 23/09/2024 a 18/01/2025 - Responsável conceito</li><li class=""hor"">VALTER ROESLER"
,,,B,14,0,0,13,0,10:10; 10:10; 10:10,SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale                    ; sino (Hardware e Rede de Computadores - 105 - 43413 - Campus: Vale,"LUCIANO PASCHOAL GASPARY - Regente de 23/09/2024 a 18/01/2025 - Responsável conceito</li><li class=""hor"">VALTER ROESLER"
,,,C,10,0,0,9,0,15:30; 15:30; 15:30,AUDITÓRIO 0 - Campus: Vale                    ; AUDITÓRIO 0 - Campus: Vale                    ; sino (Hardware e Rede de Computadores - 105 - 43413 - Campus: Vale,"ALEXANDRE DA SILVA CARISSIMI - Regente de 23/09/2024 a 18/01/2025 - Responsável conceito</li><li class=""hor"">VALTER ROESLER"
,,,D,10,0,0,14,0,15:30; 15:30; 10:30,AUDITÓRIO 0 - Campus: Vale                    ; AUDITÓRIO 0 - Campus: Vale                    ; sino (Hardware e Rede de Computadores - 105 - 43413 - Campus: Vale,"ALEXANDRE DA SILVA CARISSIMI - Regente de 23/09/2024 a 18/01/2025 - Responsável conceito</li><li class=""hor"">VALTER ROESLER"
INF01045,SEGURANÇA EM SISTEMAS DE COMPUTAÇÃO,4,U,20,0,2,28,0,15:30; 15:30,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,Jeferson Campos Nobre
INF05516,SEMÂNTICA FORMAL N,4,U,40,0,0,40,0,10:10; 10:10,SALA DE AULA 107 - P. 43425 - Campus: Vale                    ; SALA DE AULA 107 - P. 43425 - Campus: Vale,ÁLVARO FREITAS MOREIRA
INF01175,SISTEMAS DIGITAIS PARA COMPUTADORES A,4,U,6,0,0,8,0,10:30; 10:30,SALA DE AULA 102 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 102 - PRÉDIO 43425 - Campus: Vale,FERNANDA GUSMAO DE LIMA KASTENSMIDT
INF01142,SISTEMAS OPERACIONAIS I N,4,A,25,0,0,17,0,13:30; 13:30,AUDITÓRIO 1 - Campus: Vale                    ; AUDITÓRIO 1 - Campus: Vale,NICOLAS BRUNO MAILLARD
,,,B,20,0,0,21,0,13:30; 13:30,AUDITÓRIO 1 - Campus: Vale                    ; AUDITÓRIO 1 - Campus: Vale,NICOLAS BRUNO MAILLARD
INF01151,SISTEMAS OPERACIONAIS II N,4,A,32,0,0,29,0,13:30; 13:30,SALA DE AULA 113 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 113 - PRÉDIO 43425 - Campus: Vale,ALBERTO EGON SCHAEFFER FILHO
,,,B,15,0,0,13,0,13:30; 13:30,SALA DE AULA 113 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 113 - PRÉDIO 43425 - Campus: Vale,WEVERTON LUIS DA COSTA CORDEIRO
INF01120,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS,4,A,23,0,0,24,0,13:30; 13:30,SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale,Karina Kohl Silveira
,,,B,20,0,0,22,0,10:10; 10:10,SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale,MARCELO SOARES PIMENTA
